topic,documented_rules,current_build_snapshot,status,master_resolution
Card master set,Card_export / All_Cards_Master match exactly at 754 cards,Build loads Base44 Card entity records,Aligned,Card_export should remain master source of card facts and membership
Card families,"8 families: character, boss, pet, relic, name, edict, site, host_sigil",Same families present in Card entity and UI panels,Aligned,Use Card_export/Base44 entity values as canonical
Characters art prompts,"330 character prompt rows, all matched to master cards",Not used directly by gameplay build,Supplemental,Keep as character reference only; no removals needed
Character/boss mechanics refs,mechanics_expanded covers all 664 character+boss cards; mechanics.csv misses 1 boss (Anu the Exarch of Heaven),Build uses card data plus simplified combat/helpers,Partial,Use mechanics_expanded as the complete supplemental mechanics file
Player count,Rule docs support 2–4 players,Build UI is arranged for 4 seats and bot seats,Divergent,Document build as 4-player digital baseline; keep 2–4 as ruleset capability
Deck size,Unified rulebook: exactly 36 cards,Build does not appear to enforce deck construction inside gameplay page,Documented only,"Retain 36-card legality in master rules, mark deck validation as external/lobby concern"
Opening hand,Unified rulebook and playthrough: 6 cards,Build hand limit constant is 6; draw phase fills back to 6,Partially aligned,Master doc should distinguish opening hand 6 and current digital draw-to-6 behavior
Starting resources,"Docs: Sinew 2, Sigil 1, Oath 1",Build initializes resources as 2/1/1,Aligned,Keep 2/1/1
Turn phases,"Playthrough/build/entity use 7 phases: Upkeep, Draw, Edicts, Main, Battle/Battles, Capture, End; unified rulebook compresses to 5 phases",Build uses 7-phase flow,Divergent but reconcilable,Use 7-phase digital master; treat unified 5-phase version as compressed tabletop wording
Resource gain timing,Unified rulebook grants +1/+1/+1 in Upkeep,Current build grants all three resources in End phase,Divergent,Master doc should show current build behavior separately and flag target rules behavior
Draw rule,Unified rulebook: draw 1 in Draw phase,Build fills hand to HAND_LIMIT (6) during Draw,Divergent,"Document as current build simplification, not canonical target"
Edicts / Names,Unified/playthrough: Names and Edicts are distinct law/event actions; Names raise Audit Heat,Build Edicts phase allows name/edict and adds +1 Audit Heat for edict context,Partial,Keep separate Edicts phase; clarify Name heat and one-shot Edict resolution in master doc
Main phase deploys,"Docs: Characters, Bosses, Pets, Relics, Sites, Host Sigils in Main",Build PhasePanel matches these families in Main,Aligned,Keep current family deployment map
Sites / Fields / Lines,"Docs define Jurisdiction Fields, Line crossing, Geasa, field limits","Build data model references jurisdiction_fields and tutorial text, but active rules look minimally enforced in page logic",Documented only / partial,Retain full rules in master mechanics and note implementation gap
Combat axes,"Unified rulebook: Stone, Veil, Oath are core axes","Build combat UI uses Stone, Veil, Oath",Aligned,Keep Stone/Veil/Oath as core
Combat resolution depth,"Unified/playthrough: supporters, resource boosts, modifiers, consequences, deterministic totals",Build attack currently compares chosen axis value only and downs defender on win,Divergent,Master doc should preserve full deterministic combat model and separately note simplified build implementation
Wounds / Downed,Unified: 2 Wounds = Downed,Build appears to down target immediately on winning attack,Divergent,Keep 2-wound target rules as canonical target; note build simplification
Bind / Capture,Unified: Bind requires Downed + Oath/Sanctuary conditions; Bosses need 3 Trial counters,Build capture awards marks from downed units; no full bind/trial enforcement visible in page logic,Partial,Preserve Bind/Trial/Boss capture rules in master doc and mark as partially implemented
Audit Heat,Docs: caused by law manipulation and risky effects; audit check at 5+,Build has thresholds at 3/5/7/9 and edict/name heat handling plus tracker UI,Partial,Master doc should include current threshold ladder and keep audit check concepts
Arbitration,Unified/playthrough define Name arbitration with hidden Oath bids,"Build tutorial references arbitration, but no full implementation is obvious in gameplay page",Documented only,Keep rules in master doc as not yet fully implemented
Victory / Marks,"Unified: 10 standard marks, alt 6/12 modes, +1 char, +2 boss, +1 seize Name, +1 Site raid",Build ends at 10 marks; capture grants 1 or 2 marks by rarity,Partial,Keep 10-mark standard; note build currently scores by capture rarity instead of full event model
Hand discard / heat relief,Unified End: discard to 9 and optionally discard to lower Audit Heat,Build enforces discard to 6 before End and currently uses End for resource collection,Divergent,Document current build behavior separately from target rules
Combat expression layer,"Canonical rules now define axis identities, consequence chains, one narrow reaction window, field hooks, and support-generated Heat.","Current build resolves simplified deterministic axis comparison without full reaction, chain, or terrain hook layers.",Build Gap,Use Canonical Master Rules v1.0 as authority; treat full expressive combat as target implementation.
Field control economy,"Fields now carry control state and End-step economy hooks such as Sanctuary Sigil gain, Warfield Stone pressure, Threshold retreat relief, and Wilds dampening.",Current build shows field presence but not full control-economy resolution.,Build Gap,"Preserve digital field shell, but canonicalize control-state and field-economy rules in master docs."
Audit Heat risk engine,"Heat now supports banking, conversion into power, threshold riders, and archetype-level pressure beyond simple ladder display.",Current build visibly tracks the audit ladder but does not fully expose banking/conversion or expanded threshold play.,Build Gap,Keep build ladder values; expand gameplay authority to full Heat risk engine from master rules.
Expanded Arbitration,"Arbitration now includes sealed bids, witnesses, precedent tokens, injunctions, counter-claims, and seizure/suppression/corruption outcomes.",Current build and prior docs preserve only the Oath-bid contest skeleton.,Build Gap,Canonicalize expanded Arbitration as the full legal-control subsystem.
Boss encounter layer,"Bosses now include stance states, aura laws, raid-like pressure, and trial retaliation in addition to upkeep and Trials.",Current build supports Boss cards but not the full encounter-style subsystem.,Build Gap,Treat encounter-style Boss behavior as canonical target rules.
Scenario modifiers,Scenario modifiers are now official replayability tools that adjust the match without replacing core rules.,No evidence of implemented scenario-modifier support in the current build snapshot.,Build Gap,Canonicalize scenario modifiers as format-level optional rules.
Match-state visibility,"Field dominance, Trial counters, audit escalation, Name ownership, and capture/bind/raid eligibility are now mandatory visible state markers.",Current build surfaces some state but not the full required visibility layer.,Build Gap,Treat visibility requirements as gameplay-authority requirements for future implementation.
Multiplayer shipping canon,"Shipping canon now defines 2-, 3-, and 4-player support as first-class modes, with >4 only if validated.","Current build visibly supports a 4-seat presentation and phase-ready sync, but doctrine previously still contained optional-extension wording.","Reconciled, Build Gap",Treat 2–4 player support as canonical shipping scope; remove optional-extension interpretation from live doctrine and complete rules/UI implementation.
Current draw model,Canonical target rules use a normal draw-1 model after setup unless altered by card or mode.,Current build Draw phase refills toward hand limit 6.,Build Gap,Record refill-to-6 as the current implementation snapshot; keep draw-1 as target canon until implementation is intentionally changed or canon is revised.
Current combat resolver shape,"Target canon defines expressive deterministic combat with support, spend windows, narrow reaction window, consequence choice, and chain logic.",Current build uses a simplified deterministic axis-comparison combat flow with downing and capture follow-through.,Build Gap,Treat simplified combat as current build reality; maintain expressive combat as target canon and reconciliation target.
Current build source precedence,"Final Gameplay Doctrine, Final Engineering Doctrine, and Shipping Gaps now form the active authority stack.",Some bridge/reference framing still reflected older consolidation language prior to shipping update.,Reconciled,Use the finalized doctrine hierarchy as the active source-precedence model for all future work.
4-seat multiplayer UI snapshot,Shipping requires 2–4 player support with UI legibility and visible state clarity.,"Current build already shows a 4-seat multiplayer presentation with phase-ready indicators, but full state-visibility compliance remains incomplete.",Partial,Use the existing 4-seat presentation as the baseline implementation shell; complete the required visibility and interaction layer for shipping.
